Date,Country_Region,Doses_admin,People_at_least_one_dose
2021-06-25,Angola,1432699.0,909119.0
2021-06-25,Venezuela,1302992.0,1079134.0
2021-06-26,Angola,1432699.0,909119.0
2021-06-26,Venezuela,1466988.0,1223130.0
2021-06-27,Angola,1432699.0,909119.0
2021-06-27,Venezuela,1466988.0,1223130.0
2021-06-28,Angola,1432699.0,909119.0
2021-06-28,Venezuela,1466988.0,1223130.0
2021-06-29,Angola,1488292.0,943301.0
2021-06-29,Venezuela,1466988.0,1223130.0
2021-06-30,Angola,1488292.0,943301.0
2021-06-30,Venezuela,1466988.0,1223130.0
2021-07-01,Angola,1488292.0,943301.0
2021-07-01,Venezuela,1466988.0,1223130.0
2021-07-02,Angola,1488292.0,943301.0
2021-07-02,Venezuela,1466988.0,1223130.0
2021-07-03,Angola,1488292.0,943301.0
2021-07-03,Venezuela,1466988.0,1223130.0
2021-07-04,Angola,1488292.0,943301.0
2021-07-04,Venezuela,1466988.0,1223130.0
2021-07-05,Angola,1488292.0,943301.0
2021-07-05,Venezuela,1466988.0,1223130.0
2021-07-06,Angola,1513460.0,951772.0
2021-07-06,Venezuela,2508201.0,2284343.0
2021-07-07,Angola,1513460.0,951772.0
2021-07-07,Venezuela,2508201.0,2284343.0
2021-07-08,Angola,1513460.0,951772.0
2021-07-08,Venezuela,2508201.0,2284343.0
2021-07-09,Angola,1513460.0,951772.0
2021-07-09,Venezuela,2508201.0,2284343.0
2021-07-10,Angola,1513460.0,951772.0
2021-07-10,Venezuela,2508201.0,2284343.0
2021-07-11,Angola,1513460.0,951772.0
2021-07-11,Venezuela,2508201.0,2284343.0
2021-07-12,Angola,1513460.0,951772.0
2021-07-12,Venezuela,2508201.0,2284343.0
2021-07-13,Angola,1558201.0,958373.0
2021-07-13,Venezuela,4000000.0,2900000.0
2021-07-14,Angola,1558201.0,958373.0
2021-07-14,Venezuela,4000000.0,2900000.0
2021-07-15,Angola,1558201.0,958373.0
2021-07-15,Venezuela,4000000.0,2900000.0
2021-07-16,Angola,1558201.0,958373.0
2021-07-16,Venezuela,4000000.0,2900000.0
2021-07-17,Angola,1558201.0,958373.0
2021-07-17,Venezuela,4000000.0,2900000.0
2021-07-18,Angola,1558201.0,958373.0
2021-07-18,Venezuela,4000000.0,2900000.0
2021-07-19,Angola,1558201.0,958373.0
2021-07-19,Venezuela,4000000.0,2900000.0
2021-07-20,Angola,1592537.0,958373.0
2021-07-20,Venezuela,4000000.0,2900000.0
2021-07-21,Angola,1592537.0,958373.0
2021-07-21,Venezuela,4000000.0,2900000.0
2021-07-22,Angola,1592537.0,958373.0
2021-07-22,Venezuela,4000000.0,2900000.0
2021-07-23,Angola,1592537.0,958373.0
2021-07-23,Venezuela,4000000.0,2900000.0
2021-07-24,Angola,1592537.0,958373.0
2021-07-24,Venezuela,4000000.0,2900000.0
2021-07-25,Angola,1592537.0,958373.0
2021-07-25,Venezuela,4000000.0,2900000.0
2021-07-26,Angola,1592537.0,958373.0
2021-07-26,Venezuela,4000000.0,2900000.0
2021-07-27,Angola,1592537.0,958373.0
2021-07-27,Venezuela,4000000.0,2900000.0
2021-07-28,Angola,1592537.0,958373.0
2021-07-28,Venezuela,4000000.0,2900000.0
2021-07-29,Angola,1592537.0,958373.0
2021-07-29,Venezuela,4000000.0,2900000.0
2021-07-30,Angola,1592537.0,958373.0
2021-07-30,Venezuela,4000000.0,2900000.0
2021-07-31,Angola,1592537.0,958373.0
2021-07-31,Venezuela,4000000.0,2900000.0
2021-08-01,Angola,1592537.0,958373.0
2021-08-01,Venezuela,4000000.0,2900000.0
2021-08-02,Angola,1592537.0,958373.0
2021-08-02,Venezuela,4000000.0,2900000.0
2021-08-03,Angola,1592537.0,958373.0
2021-08-03,Venezuela,4000000.0,2900000.0
2021-08-04,Angola,1680059.0,969946.0
2021-08-04,Venezuela,4000000.0,2900000.0
2021-08-05,Angola,1680059.0,969946.0
2021-08-05,Venezuela,4000000.0,2900000.0
2021-08-06,Angola,1680059.0,969946.0
2021-08-06,Venezuela,4000000.0,2900000.0
2021-08-07,Angola,1680059.0,969946.0
2021-08-07,Venezuela,4000000.0,2900000.0
2021-08-08,Angola,1680059.0,969946.0
2021-08-08,Venezuela,4000000.0,2900000.0
2021-08-09,Angola,1680059.0,969946.0
2021-08-09,Venezuela,4000000.0,2900000.0
2021-08-10,Angola,1695588.0,972978.0
2021-08-10,Venezuela,4000000.0,2900000.0
2021-08-11,Angola,1695588.0,972978.0
2021-08-11,Venezuela,4000000.0,2900000.0
2021-08-12,Angola,1695588.0,972978.0
2021-08-12,Venezuela,4000000.0,2900000.0
2021-08-13,Angola,1695588.0,972978.0
2021-08-13,Venezuela,4000000.0,2900000.0
2021-08-14,Angola,1695588.0,972978.0
2021-08-14,Venezuela,4000000.0,2900000.0
2021-08-15,Angola,1695588.0,972978.0
2021-08-15,Venezuela,4000000.0,2900000.0
2021-08-16,Angola,1695588.0,972978.0
2021-08-16,Venezuela,4000000.0,2900000.0
2021-08-17,Angola,1727488.0,1000191.0
2021-08-17,Venezuela,4000000.0,2900000.0
2021-08-18,Angola,1727488.0,1000191.0
2021-08-18,Venezuela,4678086.0,2900000.0
2021-08-19,Angola,1727488.0,1000191.0
2021-08-19,Venezuela,4678086.0,2900000.0
2021-08-20,Angola,1727488.0,1000191.0
2021-08-20,Venezuela,4678086.0,2900000.0
2021-08-21,Angola,1754073.0,1025762.0
2021-08-21,Venezuela,4678086.0,2900000.0
2021-08-22,Angola,1754073.0,1025762.0
2021-08-22,Venezuela,4678086.0,2900000.0
2021-08-23,Angola,1754073.0,1025762.0
2021-08-23,Venezuela,4678086.0,2900000.0
2021-08-24,Angola,1754073.0,1025762.0
2021-08-24,Venezuela,4678086.0,2900000.0
2021-08-25,Angola,1754073.0,1025762.0
2021-08-25,Venezuela,4678086.0,2900000.0
2021-08-26,Angola,1841568.0,1110558.0
2021-08-26,Venezuela,4678086.0,2900000.0
2021-08-27,Angola,1841568.0,1110558.0
2021-08-27,Venezuela,4678086.0,2900000.0
2021-08-28,Angola,1841568.0,1110558.0
2021-08-28,Venezuela,9342817.0,6006270.0
2021-08-29,Angola,1841568.0,1110558.0
2021-08-29,Venezuela,9342817.0,6006270.0
2021-08-30,Angola,1841568.0,1110558.0
2021-08-30,Venezuela,9342817.0,6006270.0
2021-08-31,Angola,1841568.0,1110558.0
2021-08-31,Venezuela,9342817.0,6006270.0
2021-09-01,Angola,1841568.0,1110558.0
2021-09-01,Venezuela,9342817.0,6006270.0
2021-09-02,Angola,2086325.0,1165755.0
2021-09-02,Venezuela,9342817.0,6006270.0
2021-09-03,Angola,2086325.0,1165755.0
2021-09-03,Venezuela,9342817.0,6006270.0
2021-09-04,Angola,2086325.0,1165755.0
2021-09-04,Venezuela,9342817.0,6006270.0
2021-09-05,Angola,2086325.0,1165755.0
2021-09-05,Venezuela,9342817.0,6006270.0
2021-09-06,Angola,2086325.0,1165755.0
2021-09-06,Venezuela,9342817.0,6006270.0
2021-09-07,Angola,2086325.0,1165755.0
2021-09-07,Venezuela,9342817.0,6006270.0
2021-09-08,Angola,2086325.0,1165755.0
2021-09-08,Venezuela,9342817.0,6006270.0
2021-09-09,Angola,2086325.0,1165755.0
2021-09-09,Venezuela,9342817.0,6006270.0
2021-09-10,Angola,2086325.0,1165755.0
2021-09-10,Venezuela,9342817.0,6006270.0
2021-09-11,Angola,2086325.0,1165755.0
2021-09-11,Venezuela,11094206.0,6822809.0
2021-09-12,Angola,2469333.0,1510880.0
2021-09-12,Venezuela,11094206.0,6822809.0
2021-09-13,Angola,2469333.0,1510880.0
2021-09-13,Venezuela,11094206.0,6822809.0
2021-09-14,Angola,2469333.0,1510880.0
2021-09-14,Venezuela,11094206.0,6822809.0
2021-09-15,Angola,2469333.0,1510880.0
2021-09-15,Venezuela,11094206.0,6822809.0
2021-09-16,Angola,2469333.0,1510880.0
2021-09-16,Venezuela,11094206.0,6822809.0
2021-09-17,Angola,2469333.0,1510880.0
2021-09-17,Venezuela,11094206.0,6822809.0
2021-09-18,Angola,2469333.0,1510880.0
2021-09-18,Venezuela,11094206.0,6822809.0
2021-09-19,Angola,2469333.0,1510880.0
2021-09-19,Venezuela,11094206.0,6822809.0
2021-09-20,Angola,2820134.0,1836547.0
2021-09-20,Venezuela,11094206.0,6822809.0
2021-09-21,Angola,2820134.0,1836547.0
2021-09-21,Venezuela,11094206.0,6822809.0
2021-09-22,Angola,2820134.0,1836547.0
2021-09-22,Venezuela,14050000.0,8800000.0
2021-09-23,Angola,2820134.0,1836547.0
2021-09-23,Venezuela,14050000.0,8800000.0
2021-09-24,Angola,2820134.0,1836547.0
2021-09-24,Venezuela,14050000.0,8800000.0
2021-09-25,Angola,2820134.0,1836547.0
2021-09-25,Venezuela,14050000.0,8800000.0
2021-09-26,Angola,2820134.0,1836547.0
2021-09-26,Venezuela,14050000.0,8800000.0
2021-09-27,Angola,3134137.0,2127405.0
2021-09-27,Venezuela,14050000.0,8800000.0
2021-09-28,Angola,3134137.0,2127405.0
2021-09-28,Venezuela,15714857.0,9731808.0
2021-09-29,Angola,3134137.0,2127405.0
2021-09-29,Venezuela,15714857.0,9731808.0
2021-09-30,Angola,3134137.0,2127405.0
2021-09-30,Venezuela,15714857.0,9731808.0
2021-10-01,Angola,3134137.0,2127405.0
2021-10-01,Venezuela,15714857.0,9731808.0
2021-10-02,Angola,3134137.0,2127405.0
2021-10-02,Venezuela,15714857.0,9731808.0
2021-10-03,Angola,3134137.0,2127405.0
2021-10-03,Venezuela,15714857.0,9731808.0
2021-10-04,Angola,3134137.0,2127405.0
2021-10-04,Venezuela,15714857.0,9731808.0
2021-10-05,Angola,3134137.0,2127405.0
2021-10-05,Venezuela,15714857.0,9731808.0
2021-10-06,Angola,3134137.0,2127405.0
2021-10-06,Venezuela,15714857.0,9731808.0
2021-10-07,Angola,3134137.0,2127405.0
2021-10-07,Venezuela,15714857.0,9731808.0
2021-10-08,Angola,3134137.0,2127405.0
2021-10-08,Venezuela,15714857.0,9731808.0
2021-10-09,Angola,4074677.0,2863708.0
2021-10-09,Venezuela,16127242.0,9926613.0
2021-10-10,Angola,4074677.0,2863708.0
2021-10-10,Venezuela,16127242.0,9926613.0
2021-10-11,Angola,4074677.0,2863708.0
2021-10-11,Venezuela,16127242.0,9926613.0
2021-10-12,Angola,4074677.0,2863708.0
2021-10-12,Venezuela,16127242.0,9926613.0
2021-10-13,Angola,4074677.0,2863708.0
2021-10-13,Venezuela,16127242.0,9926613.0
2021-10-14,Angola,4074677.0,2863708.0
2021-10-14,Venezuela,16127242.0,9926613.0
2021-10-15,Angola,4448653.0,3158501.0
2021-10-15,Venezuela,16127242.0,9926613.0
2021-10-16,Angola,4448653.0,3158501.0
2021-10-16,Venezuela,16127242.0,9926613.0
2021-10-17,Angola,4448653.0,3158501.0
2021-10-17,Venezuela,16127242.0,9926613.0
2021-10-18,Angola,4448653.0,3158501.0
2021-10-18,Venezuela,16127242.0,9926613.0
2021-10-19,Angola,5224697.0,3787300.0
2021-10-19,Venezuela,16127242.0,9926613.0
2021-10-20,Angola,5224697.0,3787300.0
2021-10-20,Venezuela,16127242.0,9926613.0
2021-10-21,Angola,5661085.0,4126328.0
2021-10-21,Venezuela,16127242.0,9926613.0
2021-10-22,Angola,5661085.0,4126328.0
2021-10-22,Venezuela,16127242.0,9926613.0
2021-10-23,Angola,5661085.0,4126328.0
