Country (or dependency),Population in 2023,World Percentage,Area (Km²),Density (P/Km²),ISO
Kuwait,4310.108,0.05%,17_818 Km²,241.8691/Km²,KWT
Croatia,4008.617,0.05%,"56,594 Km²",71.6336/Km²,HRV
Eritrea,3748.901,0.05%,117_600 Km²,30.9722/Km²,ERI
Georgia,3728.282,0.05%,"69,700 Km²",53.6521/Km²,GEO
Mongolia,3447.157,0.04%,"1,564,110 Km²",2.2133/Km²,MNG
Moldova,3435.931,0.04%,"33,846 Km²",104.4845/Km²,MDA
Uruguay,3423.108,0.04%,181_034 Km²,19.5584/Km²,URY
Puerto Rico,3260.314,0.04%,"8,870 Km²",367.5664/Km²,PRI
Bosnia and Herzegovina,3210.847,0.04%,"51,209 Km²",62.7119/Km²,BIH
Albania,2832.439,0.04%,"28,748 Km²",103.3737/Km²,ALB
Jamaica,2825.544,0.04%,10_991 Km²,260.8997/Km²,JAM
Armenia,2777.97,0.03%,29_743 Km²,97.5753/Km²,ARM
Gambia,2773.168,0.03%,"10,689 Km²",274.0285/Km²,GMB
Lithuania,2718.352,0.03%,65_300 Km²,43.4103/Km²,LTU
Qatar,2716.391,0.03%,11_586 Km²,236.4135/Km²,QAT
Botswana,2675.352,0.03%,"582,000 Km²",4.7207/Km²,BWA
Namibia,2604.172,0.03%,"825,615 Km²",3.1631/Km²,NAM
Gabon,2436.566,0.03%,267_668 Km²,9.4561/Km²,GAB
Lesotho,2330.318,0.03%,30_355 Km²,76.7562/Km²,LSO
Guinea-Bissau,2150.842,0.03%,"36,125 Km²",76.4880/Km²,GNB
Slovenia,2119.675,0.03%,20_273 Km²,105.2658/Km²,SVN
North Macedonia,2085.679,0.03%,"25,713 Km²",82.6994/Km²,MKD
Latvia,1830.211,0.02%,"64,559 Km²",29.4104/Km²,LVA
Equatorial Guinea,1714.671,0.02%,"28,051 Km²",61.1291/Km²,GNQ
Trinidad and Tobago,1534.937,0.02%,5_130 Km²,299.2080/Km²,TTO
Bahrain,1485.509,0.02%,765 Km²,1892.3682/Km²,BHR
Timor-Leste,1360.596,0.02%,"14,874 Km²",91.4994/Km²,TLS
Estonia,1322.765,0.02%,"45,227 Km²",30.9419/Km²,EST
Mauritius,1300.557,0.02%,"2,040 Km²",640.6685/Km²,MUS
Cyprus,1260.138,0.02%,"9,251 Km²",136.3786/Km²,CYP
Eswatini,1210.822,0.02%,"17,364 Km²",70.3966/Km²,SWZ
Djibouti,1136.455,0.01%,23_200 Km²,49.0274/Km²,DJI
Reunion,981.796,0.01%,"2,511 Km²",390.8424/Km²,REU
Fiji,936.375,0.01%,18_272 Km²,51.2521/Km²,FJI
Comoros,852.075,0.01%,"1,862 Km²",457.8587/Km²,COM
Guyana,813.834,0.01%,"214,969 Km²",4.1343/Km²,GUY
Bhutan,787.424,0.01%,38_394 Km²,20.6456/Km²,BTN
Solomon Islands,740.424,0.01%,28_896 Km²,26.4532/Km²,SLB
Luxembourg,654.768,0.01%,2_586 Km²,254.3282/Km²,LUX
Montenegro,626.485,0.01%,13_812 Km²,46.5788/Km²,MNE
Suriname,623.236,0.01%,163_820 Km²,3.9951/Km²,SUR
Cape Verde,598.682,0.01%,"4,033 Km²",148.4458/Km²,CPV
Western Sahara,587.259,0.01%,266_000 Km²,2.2077/Km²,ESH
Malta,535.064,0.01%,316 Km²,1672.0750/Km²,MLT
Maldives,521.021,0.01%,300 Km²,1736.7367/Km²,MDV
Brunei,452.524,0.01%,5_765 Km²,85.8679/Km²,BRN
Bahamas,412.623,0.01%,"13,943 Km²",41.2211/Km²,BHS
Belize,410.825,0.01%,"22,966 Km²",18.0107/Km²,BLZ
Guadeloupe,395.839,0.00%,"1,628 Km²",243.1443/Km²,GLP
Iceland,375.318,0.00%,103_000 Km²,3.7223/Km²,ISL
Martinique,366.981,0.00%,1_128 Km²,325.3378/Km²,MTQ
Mayotte,335.995,0.00%,374 Km²,898.3824/Km²,MYT
Vanuatu,334.506,0.00%,12_189 Km²,27.4410/Km²,VUT
French Guiana,312.155,0.00%,"83,534 Km²",3.7369/Km²,GUF
Barbados,281.995,0.00%,430 Km²,655.8023/Km²,BRB
Sao Tome and Principe,231.856,0.00%,964 Km²,241.5167/Km²,STP
Samoa,225.681,0.00%,2_842 Km²,81.1802/Km²,WSM
Saint Lucia,180.251,0.00%,616 Km²,295.4934/Km²,LCA
Kiribati,133.515,0.00%,811 Km²,164.8333/Km²,KIR
Grenada,126.183,0.00%,344 Km²,371.1265/Km²,GRD
Micronesia,115.224,0.00%,702 Km²,164.6057/Km²,FSM
Tonga,107.773,0.00%,747 Km²,149.6847/Km²,TON
Seychelles,107.66,0.00%,452 Km²,234.0435/Km²,SYC
Saint Vincent and the Grenadines,103.698,0.00%,389 Km²,265.8923/Km²,VCT
Antigua and Barbuda,94.298,0.00%,442 Km²,214.3136/Km²,ATG
Andorra,80.088,0.00%,468 Km²,170.4000/Km²,AND
Dominica,73.04,0.00%,751 Km²,97.3867/Km²,DMA
Greenland,56.643,0.00%,2_166_086 Km²,0.1380/Km²,GRL
Saint Kitts and Nevis,47.755,0.00%,261 Km²,183.6731/Km²,KNA
Marshall Islands,41.996,0.00%,181 Km²,233.3111/Km²,MHL
Liechtenstein,39.584,0.00%,160 Km²,247.4000/Km²,LIE
Monaco,36.297,0.00%,3 Km²,18148.5000/Km²,MCO
San Marino,33.642,0.00%,61 Km²,560.7000/Km²,SMR
Palau,18.058,0.00%,459 Km²,39.2565/Km²,PLW
Nauru,12.78,0.00%,21 Km²,639.0000/Km²,NRU
Tuvalu,11.396,0.00%,26 Km²,379.8667/Km²,TUV
Vatican City,0.518,0.00%,1 Km²,1177.2727/Km²,VAT
